"clinical_id","alias_code","sample_alias","run_accession","sample_accession","experiment_accession"
"KTN126","OPcell","KTN126OPcell154","SRR5960158","SAMN07544826","SRX3118283"
"KTN126","OPcell","KTN126OPcell152","SRR5960160","SAMN07544824","SRX3118281"
"KTN126","OPcell","KTN126OPcell112","SRR5960169","SAMN07544784","SRX3118272"
"KTN126","OPcell","KTN126OPcell115","SRR5960176","SAMN07544787","SRX3118265"
"KTN126","0cell","KTN1260cell104","SRR5960179","SAMN07544522","SRX3118262"
"KTN126","0cell","KTN1260cell105","SRR5960184","SAMN07544523","SRX3118257"
"KTN126","0cell","KTN1260cell106","SRR5960185","SAMN07544524","SRX3118256"
"KTN126","0cell","KTN1260cell35","SRR5960197","SAMN07544453","SRX3118244"
"KTN126","0cell","KTN1260cell191","SRR5960205","SAMN07544609","SRX3118236"
"KTN126","OPcell","KTN126OPcell141","SRR5960215","SAMN07544813","SRX3118226"
"KTN126","OPcell","KTN126OPcell371","SRR5968870","SAMN07553271","SRX3126426"
"KTN126","OPcell","KTN126OPcell372","SRR5968871","SAMN07553272","SRX3126425"
"KTN126","OPcell","KTN126OPcell369","SRR5968872","SAMN07553269","SRX3126424"
"KTN126","OPcell","KTN126OPcell367","SRR5968874","SAMN07553267","SRX3126422"
"KTN126","OPcell","KTN126OPcell451","SRR5968883","SAMN07553351","SRX3126413"
"KTN126","OPcell","KTN126OPcell447","SRR5968887","SAMN07553347","SRX3126409"
"KTN126","OPcell","KTN126OPcell290","SRR5968892","SAMN07553190","SRX3126404"
"KTN126","OPcell","KTN126OPcell327","SRR5968896","SAMN07553227","SRX3126400"
"KTN126","OPcell","KTN126OPcell260","SRR5968925","SAMN07553160","SRX3126371"
"KTN126","OPcell","KTN126OPcell255","SRR5968930","SAMN07553155","SRX3126366"
"KTN126","OPcell","KTN126OPcell264","SRR5968933","SAMN07553164","SRX3126363"
"KTN126","OPcell","KTN126OPcell394","SRR5968936","SAMN07553294","SRX3126360"
"KTN126","OPcell","KTN126OPcell389","SRR5968943","SAMN07553289","SRX3126353"
"KTN126","OPcell","KTN126OPcell474","SRR5968947","SAMN07553374","SRX3126349"
"KTN126","OPcell","KTN126OPcell333","SRR5968949","SAMN07553233","SRX3126347"
"KTN126","OPcell","KTN126OPcell402","SRR5968959","SAMN07553302","SRX3126337"
"KTN126","OPcell","KTN126OPcell400","SRR5968961","SAMN07553300","SRX3126335"
"KTN126","OPcell","KTN126OPcell399","SRR5968962","SAMN07553299","SRX3126334"
"KTN126","OPcell","KTN126OPcell397","SRR5968964","SAMN07553297","SRX3126332"
"KTN126","OPcell","KTN126OPcell395","SRR5968966","SAMN07553295","SRX3126330"
"KTN126","OPcell","KTN126OPcell289","SRR5968967","SAMN07553189","SRX3126329"
"KTN126","OPcell","KTN126OPcell404","SRR5968968","SAMN07553304","SRX3126328"
"KTN126","OPcell","KTN126OPcell403","SRR5968969","SAMN07553303","SRX3126327"
"KTN126","OPcell","KTN126OPcell319","SRR5968979","SAMN07553219","SRX3126317"
"KTN126","OPcell","KTN126OPcell323","SRR5968981","SAMN07553223","SRX3126315"
"KTN126","OPcell","KTN126OPcell406","SRR5968986","SAMN07553306","SRX3126310"
"KTN126","OPcell","KTN126OPcell413","SRR5968991","SAMN07553313","SRX3126305"
"KTN126","OPcell","KTN126OPcell313","SRR5968994","SAMN07553213","SRX3126302"
"KTN126","OPcell","KTN126OPcell311","SRR5968998","SAMN07553211","SRX3126298"
"KTN126","OPcell","KTN126OPcell308","SRR5969003","SAMN07553208","SRX3126293"
"KTN126","OPcell","KTN126OPcell252","SRR5969004","SAMN07553152","SRX3126292"
"KTN126","OPcell","KTN126OPcell247","SRR5969018","SAMN07553147","SRX3126278"
"KTN126","OPcell","KTN126OPcell246","SRR5969020","SAMN07553146","SRX3126276"
"KTN126","OPcell","KTN126OPcell245","SRR5969021","SAMN07553145","SRX3126275"
"KTN126","OPcell","KTN126OPcell303","SRR5969023","SAMN07553203","SRX3126273"
"KTN126","OPcell","KTN126OPcell298","SRR5969026","SAMN07553198","SRX3126270"
"KTN126","OPcell","KTN126OPcell349","SRR5969035","SAMN07553249","SRX3126261"
"KTN126","OPcell","KTN126OPcell347","SRR5969041","SAMN07553247","SRX3126255"
"KTN126","OPcell","KTN126OPcell250","SRR5969043","SAMN07553150","SRX3126253"
"KTN126","OPcell","KTN126OPcell293","SRR5969048","SAMN07553193","SRX3126248"
"KTN126","OPcell","KTN126OPcell430","SRR5969054","SAMN07553330","SRX3126242"
"KTN126","OPcell","KTN126OPcell249","SRR5969062","SAMN07553149","SRX3126234"
"KTN126","OPcell","KTN126OPcell357","SRR5969068","SAMN07553257","SRX3126228"
"KTN126","OPcell","KTN126OPcell455","SRR5969077","SAMN07553355","SRX3126219"
"KTN126","OPcell","KTN126OPcell459","SRR5969081","SAMN07553359","SRX3126215"
"KTN126","OPcell","KTN126OPcell460","SRR5969082","SAMN07553360","SRX3126214"
"KTN126","OPcell","KTN126OPcell435","SRR5969088","SAMN07553335","SRX3126208"
"KTN126","OPcell","KTN126OPcell441","SRR5969090","SAMN07553341","SRX3126206"
"KTN126","OPcell","KTN126OPcell439","SRR5969092","SAMN07553339","SRX3126204"
"KTN126","OPcell","KTN126OPcell287","SRR5969093","SAMN07553187","SRX3126203"
"KTN126","OPcell","KTN126OPcell283","SRR5969095","SAMN07553183","SRX3126201"
"KTN126","OPcell","KTN126OPcell282","SRR5969096","SAMN07553182","SRX3126200"
"KTN126","OPcell","KTN126OPcell374","SRR5968869","SAMN07553274","SRX3126427"
"KTN126","OPcell","KTN126OPcell368","SRR5968875","SAMN07553268","SRX3126421"
"KTN126","OPcell","KTN126OPcell365","SRR5968876","SAMN07553265","SRX3126420"
"KTN126","OPcell","KTN126OPcell452","SRR5968882","SAMN07553352","SRX3126414"
"KTN126","OPcell","KTN126OPcell445","SRR5968889","SAMN07553345","SRX3126407"
"KTN126","OPcell","KTN126OPcell271","SRR5968903","SAMN07553171","SRX3126393"
"KTN126","OPcell","KTN126OPcell272","SRR5968904","SAMN07553172","SRX3126392"
"KTN126","OPcell","KTN126OPcell384","SRR5968905","SAMN07553284","SRX3126391"
"KTN126","OPcell","KTN126OPcell376","SRR5968911","SAMN07553276","SRX3126385"
"KTN126","OPcell","KTN126OPcell375","SRR5968912","SAMN07553275","SRX3126384"
"KTN126","OPcell","KTN126OPcell378","SRR5968913","SAMN07553278","SRX3126383"
"KTN126","OPcell","KTN126OPcell343","SRR5968916","SAMN07553243","SRX3126380"
"KTN126","OPcell","KTN126OPcell476","SRR5968920","SAMN07553376","SRX3126376"
"KTN126","OPcell","KTN126OPcell479","SRR5968923","SAMN07553379","SRX3126373"
"KTN126","OPcell","KTN126OPcell259","SRR5968926","SAMN07553159","SRX3126370"
"KTN126","OPcell","KTN126OPcell262","SRR5968927","SAMN07553162","SRX3126369"
"KTN126","OPcell","KTN126OPcell386","SRR5968940","SAMN07553286","SRX3126356"
"KTN126","OPcell","KTN126OPcell465","SRR5968952","SAMN07553365","SRX3126344"
"KTN126","OPcell","KTN126OPcell470","SRR5968955","SAMN07553370","SRX3126341"
"KTN126","OPcell","KTN126OPcell472","SRR5968957","SAMN07553372","SRX3126339"
"KTN126","OPcell","KTN126OPcell396","SRR5968965","SAMN07553296","SRX3126331"
"KTN126","OPcell","KTN126OPcell286","SRR5968971","SAMN07553186","SRX3126325"
"KTN126","OPcell","KTN126OPcell318","SRR5968972","SAMN07553218","SRX3126324"
"KTN126","OPcell","KTN126OPcell315","SRR5968975","SAMN07553215","SRX3126321"
"KTN126","OPcell","KTN126OPcell321","SRR5968977","SAMN07553221","SRX3126319"
"KTN126","OPcell","KTN126OPcell408","SRR5968984","SAMN07553308","SRX3126312"
"KTN126","OPcell","KTN126OPcell405","SRR5968985","SAMN07553305","SRX3126311"
"KTN126","OPcell","KTN126OPcell412","SRR5968988","SAMN07553312","SRX3126308"
"KTN126","OPcell","KTN126OPcell306","SRR5969001","SAMN07553206","SRX3126295"
"KTN126","OPcell","KTN126OPcell415","SRR5969007","SAMN07553315","SRX3126289"
"KTN126","OPcell","KTN126OPcell418","SRR5969008","SAMN07553318","SRX3126288"
