"group","rank","gene_id","score"
"KTN132__pre_candidate",47,"ENSG00000241837",-5.47666393357477
"KTN132__pre_candidate",48,"ENSG00000188243",-5.47636587248062
"KTN132__pre_candidate",49,"ENSG00000103187",-5.46666091909086
"KTN132__pre_candidate",50,"ENSG00000104341",-5.4500649275177
"KTN132__pre_candidate",51,"ENSG00000138061",-5.43331178454736
"KTN132__pre_candidate",52,"ENSG00000185650",-5.41327515566661
"KTN132__pre_candidate",53,"ENSG00000136156",-5.385142492741
"KTN132__pre_candidate",54,"ENSG00000131171",-5.38183882977807
"KTN132__pre_candidate",55,"ENSG00000156804",-5.37625384793352
"KTN132__pre_candidate",56,"ENSG00000102317",-5.37075456046197
"KTN132__pre_candidate",57,"ENSG00000101745",-5.36778857333761
"KTN132__pre_candidate",58,"ENSG00000135374",-5.36472013451248
"KTN132__pre_candidate",59,"ENSG00000118705",-5.34369482329154
"KTN132__pre_candidate",60,"ENSG00000131174",-5.32656065504105
"KTN132__pre_candidate",61,"ENSG00000168036",-5.30215750412236
"KTN132__pre_candidate",62,"ENSG00000115355",-5.27480115227827
"KTN132__pre_candidate",63,"ENSG00000005483",-5.27100372780836
"KTN132__pre_candidate",64,"ENSG00000122026",-5.26561022646324
"KTN132__pre_candidate",65,"ENSG00000184292",-5.25603848787554
"KTN132__pre_candidate",66,"ENSG00000178980",-5.25448560765747
"KTN132__pre_candidate",67,"ENSG00000166295",-5.22771281344821
"KTN132__pre_candidate",68,"ENSG00000075415",-5.22574985629922
"KTN132__pre_candidate",69,"ENSG00000204287",-5.22476002393873
"KTN132__pre_candidate",70,"ENSG00000067560",-5.2142659737148
"KTN132__pre_candidate",71,"ENSG00000110321",-5.20361029371632
"KTN132__pre_candidate",72,"ENSG00000265972",-5.20004761763274
"KTN132__pre_candidate",73,"ENSG00000051108",-5.18997108335822
"KTN132__pre_candidate",74,"ENSG00000132465",-5.18996826586699
"KTN132__pre_candidate",75,"ENSG00000110651",-5.16908381628374
"KTN132__pre_candidate",76,"ENSG00000110330",-5.16579922018843
"KTN132__pre_candidate",77,"ENSG00000112695",-5.15844200887375
"KTN132__pre_candidate",78,"ENSG00000112335",-5.15820054090295
"KTN132__pre_candidate",79,"ENSG00000111716",-5.14164743295562
"KTN132__pre_candidate",80,"ENSG00000108588",-5.13922329666751
"KTN132__pre_candidate",81,"ENSG00000127125",-5.12646336147361
"KTN132__pre_candidate",82,"ENSG00000210196",-5.11449622199476
"KTN132__pre_candidate",83,"ENSG00000133318",-5.11348142383679
"KTN132__pre_candidate",84,"ENSG00000163220",5.1132777309616
"KTN132__pre_candidate",85,"ENSG00000137831",-5.09738587586992
"KTN132__pre_candidate",86,"ENSG00000060138",-5.09665968442827
"KTN132__pre_candidate",87,"ENSG00000089248",-5.07827627949854
"KTN132__pre_candidate",88,"ENSG00000080345",-5.07287222842595
"KTN132__pre_candidate",89,"ENSG00000104408",-5.06449354479032
"KTN132__pre_candidate",90,"ENSG00000119314",-5.05336575779868
"KTN132__pre_candidate",91,"ENSG00000143742",-5.03853276766562
"KTN132__pre_candidate",92,"ENSG00000149547",-5.0364230134559
"KTN132__pre_candidate",93,"ENSG00000048828",-5.02953224457753
"KTN132__pre_candidate",94,"ENSG00000138069",-5.02280911968674
"KTN132__pre_candidate",95,"ENSG00000143543",-5.01079144165527
"KTN132__pre_candidate",96,"ENSG00000148700",-5.00818148906424
"KTN132__pre_candidate",97,"ENSG00000023445",-5.00136904496685
"KTN132__pre_candidate",98,"ENSG00000144746",-4.97141417436243
